esn,osm
810170,ADPROISSY1
812933,ALBA1
820623,ALMOND-3
820624,ALMOND-3
620625,ALMOND-3
G07047,ALVHEIM-1
G07046,ALVHEIM-1
808598,AMYLUM1
820329,ANADARKO-10
820330,ANADARKO-10
820328,ANADARKO-9
812402,ANKARA1
820186,ANTALYA-1
820070,ANTALYA-1
820185,ANTALYA-3
820187,ANTALYA-3
812418,ASHKELON1
812623,ASHKELON1
820321,ASTRAKHAN1
820458,ATAER2
820049,ATESSA1
808510,AVEZZANO1
808509,AVEZZANO2
812708,BABILAFNTE1
821124,BANGPA-1
821125,BANGPA-1
812577,BARILLA1
808472,BAYER1
810463,BEASLEY-1
821240,BEASLEY-1
812876,BELGOROD1
812710,BELGOROD1
820236,BGDUINO1
820237,BGDUINO2
820080,BGSORA1
810645,BHLANGE1
810474,BLKHILLS1
810171,BLKHILLS2
820598,BLUEFISH-1
812513,BLUFFVIEW1
812189,BPENICHEM1
820601,BRAE1
820602,BRAE2
808498,BRITSUGR1
808499,BRITSUGR2
808742,BURSA-1
808741,BURSA-1
812403,BURSA-1
820775,BUSSI_GT1
820409,BYSTRICA1
810584,CALAIS1
810173,CARSELAND1
810177,CARSELAND2
820857,CELEC1
820883,CELEC1
820882,CELEC1
820179,CELEC4
812551,CELEC4
820157,CELEC4
812659,CERKEZKOY1
820028,CLOVERGT2
820564,CLOVERGT3
808832,COCHRANE1
812053,COGENTER1
820027,COLBUNGT1
820963,COLLE1
810515,CONDAT1
810514,CONDAT2
810846,CPSLEONCT1
810847,CPSLEONCT1
810848,CPSLEONCT1
810845,CPSLEONCT1
820373,CROSSFLD-3
820374,CROSSFLD-3
820375,CROSSFLD-3
820050,CULBERTGT1
812871,CUMBRLNDGT2
810516,DARWIN1
808601,DEGUSSA1
820523,DEGUSSA2
820535,DEVON15
820536,DEVON15
820534,DEVON17
820533,DEVON17
821243,DJUBGAGT1
821244,DJUBGAGT2
808624,DOMBASLE1
808565,DORDRECHT1
808508,DTECALVERT2
812202,EDISNSESTO
809326,ELKO1
810866,EMERA1
810668,EMERA1
820164,EMGASUD2
812574,EMPORIA1
812594,EMPORIA1
820013,EMPORIA1
820014,EMPORIA1
808633,ENSO1
812624,EONLEIDEN1
812677,EONLEIDEN1
812011,ESCATRON-1
812010,ESCATRON-1
812012,ESCATRON-2
812013,ESCATRON-2
810798,ETIENNE1
810585,EWARANDA1
820069,EWINDSOR-1
820121,EWINDSOR-1
808600,FINAA
808599,FINAB
808602,FINAC
812029,FORTNELSN1
820089,GARDA1
G06297,GBABZPH01
